name,Bio,Excerpt,image,Attachment URL,Course Categories,Course Tags
David Meltzer,"<!-- wp:paragraph -->
<p>David Meltzer is the Co-Founder of Sports 1 Marketing and formerly served as CEO of the renowned Leigh Steinberg Sports &amp; Entertainment agency, which was the inspiration for the movie Jerry Maguire. David is also a three-time international best-selling author, a Top 100 Business Coach, and host of the top entrepreneur podcast, <em>The Playbook</em>.&nbsp;&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>David is the Executive Producer of the Bloomberg and Apple TV series <em>2 Minute Drill</em> and Office Hours. He is also the executive producer of <em>Entrepreneur</em>’s #1 digital business show, Elevator Pitch. David is featured in many books, movies, and TV shows such as <em>World’s Greatest Motivators</em>, <em>Think and Grow Rich: The Legacy,</em> and <em>Beyond the Secret</em>, airing on Netflix. Additionally, he has been recognized by Variety Magazine as their Sports Humanitarian of the Year and awarded the Ellis Island Medal of Honor.&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>His life’s mission is to empower OVER 1 BILLION people to be happy! This simple yet powerful mission has led him on an incredible journey to provide one thing…VALUE. In all his content, and communication that’s exactly what you’ll receive. For the past 20 years, David has been providing free weekly trainings to empower others to be happy.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>David’s mission to empower over 1 Billion people:&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:embed {""url"":""https://www.youtube.com/watch?v=1UOJH4zkdwE"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://www.youtube.com/watch?v=1UOJH4zkdwE
</div></figure>
<!-- /wp:embed -->",,https://mena.nbbcravings.com/wp-content/uploads/2022/03/Screen-Shot-2022-03-24-at-11.46.43-AM.png|https://mena.nbbcravings.com/wp-content/uploads/2022/03/David-Meltzer-MENA-Speakers.jpeg|https://mena.nbbcravings.com/wp-content/uploads/2022/03/Screen-Shot-2022-03-24-at-11.45.59-AM.png,,1|business|coach|Communication,
Vusi Thembekwayo,"<!-- wp:paragraph -->
<p>Vusi Thembekwayo is a South African venture capitalist, entrepreneur and the Founding CEO of MyGrowthFund &amp; IC Knowledge Bureau. He is also the author of his debut book The Magna Carta of Exponentiality and a business mogul who has successfully built and transformed businesses in SA and abroad.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>At 25, Thembekwayo ran a R400 million division at a renowned multinational and was one of the youngest Directors of a JSE listed company. He is the former CEO of a boutique investment and advisory firm Motiv8 Advisory. In early 2017, he sold a majority stake of his management advisory and growth consultancy business Motiv8 Advisory to United States-based Watermark Advisory LLP.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>A portion of the sales proceeds of Motiv8 Advisory went towards the establishment of MyGrowthFund, to which today, Vusi Thembekwayo is the Founder and CEO. He launched his mentorship programme, #Top40 as part of MyGrowthFund, an initiative that discovers and nurtures high-growth black entrepreneurs through funding, incubation and enterprise development.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>He is a board member of the South African Venture Capitalist Association. In 2017, Vusi Thembekwayo was named by SME South Africa as “one of the eight entrepreneurs who has a stellar year”.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Vusi Thembekwayo has been a catalyst for change in businesses across the globe through expertise in strategy, leadership and organisational culture to organisations such as Metcash.</p>
<!-- /wp:paragraph -->",,https://mena.nbbcravings.com/wp-content/uploads/2022/03/Screen-Shot-2022-03-24-at-11.30.09-AM.png|https://mena.nbbcravings.com/wp-content/uploads/2022/03/vusiafricaninterviewthumbnail.jpeg,,1|business|coach|HR|keynote speaker|Leadership,
John Formica,"<!-- wp:paragraph -->
<p>John, The “Ex-Disney Guy” and former Disney leader is an internationally known speaker, coach, and author of the top-selling book, “Making The Customer Experience Magical Now. How To Succeed In Business and Beat Out Your Competition Today!” John has inspired audiences with over 3,500 presentations and keynotes all across the globe. He has appeared on all major TV networks and featured in the Virgin Atlantic In-flight Magazine as Australia’s Top Five Best Customer Service/Experience Speakers and Trainers after completing six successful speaking tours in Australia. John was also selected as one of the Top 50 World Thought Leaders on Customer Loyalty in 2021.<br>Prior to speaking, John acquired over 30 plus years of experience in top leadership positions with hospitality industry giants like Hyatt, Hilton, and over a decade with the Disney Company. During his time with Disney, John managed their top luxury resorts to lead his teams to achieve the highest guest satisfaction ratings among all WDW Resort Hotels.<br></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Today, John is “America’s and Australia’s Customer Experience Coach” and one of the World’s Foremost Disney Philosophy Experts on business growth, leadership, team culture, and creating magical customer experiences. He continues to present and coach professionals and small businesses of all industries in Australia, Saudi Arabia, Jamaica, Dominican Republic, and throughout the U.S. to help them create unique memorable customer experiences, staff and leadership training and customer-focused winning team environments.</p>
<!-- /wp:paragraph -->",,https://mena.nbbcravings.com/wp-content/uploads/2022/03/Screen-Shot-2022-03-27-at-9.40.16-PM.png,,1|business|Communication,
Khalid Machchate,"<!-- wp:paragraph -->
<p>Khalid Machchate is the youngest Royal Advisor and policymaker in Morocco’s history, nominated personally by His Majesty the King Mohammed the 6th to serve in His advisory committee at the Morocco Royal Commission for National Development.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Khalid was also titled the first Forbes Africa 30 Under 30 Entrepreneur in the Maghreb region for his activities as founder and chairman of multinational consulting group K&amp;W Technologies, with clients in over 70 countries ranging from financial institutions such as World Bank IFC and EBRD, to governments in 4 continents, to global tech giants of the likes of Huawei and Microsoft. He also serves as division director for Innovation, Technology and Investment at global mining and chemicals leader and Fortune 1000 corporation: OCP Group.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Khalid managed as regional director the US State Department backed Silicon Valley acceleration &amp; investment program DEMO Africa, helping African startups raise over $80 MM and establish in the valley.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Khalid is a globally recognized thought leader, holding over 25 international awards in innovation, technology, and business. Speaking at world class events, from Web Summit’s 80 000 attendee-filled stadium in Lisbon, to GITEX in Dubai, SXSW in Austin, to World Economic Forum in Davos.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>He has extensive TV and press coverage in 300+ outlets including BBC, CNN, Forbes, Times, Fox News, Chicago Herald, CIO Magazine, Khaleej Times, Le Monde, The Economist, Le Parisien, Medi1TV and France TV.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>He talks about:&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>1- Technology:</p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul><li>The world as I foresee: A Day in our digital future</li><li>Digital Transformation: Propel your business into exponential growth</li><li>Human Centered Design: Your ""Human"" business in the digital era</li><li>Open Innovation: The 9 pathways for corporates to ""Get out of the Box""</li></ul>
<!-- /wp:list -->

<!-- wp:paragraph -->
<p>2- Public Policy:</p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul><li>From Regulation to Empowerment: The art and science of Sandbox policies for disruptive technologies.</li><li>The Public-Private Waltz: The pillars of a thriving &amp; resilient digital economy</li><li>Building Entrepreneurial Ecosystems: The secrets of a true Startup Nation.</li></ul>
<!-- /wp:list -->",,https://mena.nbbcravings.com/wp-content/uploads/2022/03/Screen-Shot-2022-03-29-at-4.12.12-PM.png,,1|Investment|keynote speaker,
Rahaf (Ray) Kobeissi,"<!-- wp:paragraph -->
<p>Mindset and Mental Health Coach, trainer, and speaker</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Rahaf is a thought leader on mental health and mindset transformation, well-being trainer, a keynote speaker, and the host of the ""Don't Be A Man About It"" show. She is known for breaking the stigma on men's mental health and contributing to making this world a healthier one for the generations to come.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Following her dad's suicide in 2010, she founded Rays Your Mental Health to raise awareness of men's mental health, save stressed business leaders from making unhealthy decisions, and help them speak up and find their true selves. Rahaf believes that with the right set of mindset, tools, and awareness, more business leaders will overcome their fears and blocks, live healthier lifestyles, learn how to love themselves, and reach their full potential.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Rahaf's life was a chain of tragedies, from surviving 3 suicide attempts to the painful loss of both of her parents to her brother accidentally killing someone in her house with an overdose drug injection, she succeeded to thrive amongst all the tragedies which she now proudly holds as her life trophies.&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>In 2021, her business got awarded 3rd place in the AUC School of Business case study competition organized by Emerald Publishing for the best story behind a woman's business.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Additionally, in 2022 during Innovation month, she received a recognition Award from Emirates Health Services for moderating two panel discussions on Mental Health. And in the same year she got awarded at the Women's Empowerment Investment Forum 2022 for the most influential in mental health awareness.&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Her well-being programs are meant to serve business leaders, either 1 - 1, in groups, or on stage, to help them honor their feelings, find inner peace and balance, and add more meaning to their lives. Rahaf's mission is to break the stigma on mental health and to bridge the gap between awareness and action.</p>
<!-- /wp:paragraph -->

<!-- wp:gallery {""ids"":[7712,7714,7715],""linkTo"":""none""} -->
<figure class=""wp-block-gallery columns-3 is-cropped""><ul class=""blocks-gallery-grid""><li class=""blocks-gallery-item""><figure><img src=""https://mena.nbbcravings.com/wp-content/uploads/2022/05/WhatsApp-Image-2022-03-31-at-2.53.43-PM-1024x682.jpeg"" alt="""" data-id=""7712"" data-full-url=""https://mena.nbbcravings.com/wp-content/uploads/2022/05/WhatsApp-Image-2022-03-31-at-2.53.43-PM.jpeg"" data-link=""https://mena.nbbcravings.com/speaker-page/rahaf-ray-kobeissi/whatsapp-image-2022-03-31-at-2-53-43-pm/"" class=""wp-image-7712""/></figure></li><li class=""blocks-gallery-item""><figure><img src=""https://mena.nbbcravings.com/wp-content/uploads/2022/05/275845591_10158257503961556_641124009537442594_n.jpeg"" alt="""" data-id=""7714"" data-full-url=""https://mena.nbbcravings.com/wp-content/uploads/2022/05/275845591_10158257503961556_641124009537442594_n.jpeg"" data-link=""https://mena.nbbcravings.com/speaker-page/rahaf-ray-kobeissi/275845591_10158257503961556_641124009537442594_n/"" class=""wp-image-7714""/></figure></li><li class=""blocks-gallery-item""><figure><img src=""https://mena.nbbcravings.com/wp-content/uploads/2022/05/13-1024x768.jpeg"" alt="""" data-id=""7715"" data-full-url=""https://mena.nbbcravings.com/wp-content/uploads/2022/05/13.jpeg"" data-link=""https://mena.nbbcravings.com/speaker-page/rahaf-ray-kobeissi/attachment/13/"" class=""wp-image-7715""/></figure></li></ul></figure>
<!-- /wp:gallery -->",,https://mena.nbbcravings.com/wp-content/uploads/2022/05/Ray-Portrait-scaled.jpeg|https://mena.nbbcravings.com/wp-content/uploads/2022/05/WhatsApp-Image-2022-03-31-at-2.53.43-PM.jpeg|https://mena.nbbcravings.com/wp-content/uploads/2022/05/275845591_10158257503961556_641124009537442594_n.jpeg|https://mena.nbbcravings.com/wp-content/uploads/2022/05/13.jpeg,,1|Investment|keynote speaker,
Hussein Sayed,"<!-- wp:paragraph -->
<p>Hussein Sayed hosts the popular evening business show on CNBC Arabia, Bursat Al Alam. He<br>covers the most critical business and market news, providing insight to traders to assist them in their<br>investment decisions. Covering all significant headlines from Asian to US markets, including analysis of<br>Equities, Commodities, Fixed Income, and Currencies, he has interviewed many influential industry<br>leaders and decision-makers in the Arab and international business world. Hussein has contributed to<br>over a hundred conferences in the Middle East, Asia, Europe, and the US as chairperson, moderator,<br>and speaker.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Prior to his current role, Hussein spent over 20 years working in the finance sector as a strategist,<br>analyst, and trader in equities, credit, and foreign exchange markets. He uses his knowledge of<br>financial tools and strategies such as valuation modeling, fundamental and technical analysis to<br>highlight and evaluate market trends and opportunities. Hussein is frequently quoted in leading media<br>outlets such as FT, Bloomberg, Reuters, Forbes Middle East, AFP, The Telegraph, and MarketWatch.<br>In addition, he has regular contributions to The National and Khaleej Times.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>As a Chartered Financial Analyst and a member of the CFA Emirates, Hussein has also<br>completed all three levels of the Chartered Market Technician Program.</p>
<!-- /wp:paragraph -->

<!-- wp:gallery {""ids"":[7741,7742,7743,7744],""linkTo"":""none""} -->
<figure class=""wp-block-gallery columns-3 is-cropped""><ul class=""blocks-gallery-grid""><li class=""blocks-gallery-item""><figure><img src=""https://mena.nbbcravings.com/wp-content/uploads/2022/07/Blockchain-Event-1024x683.jpg"" alt="""" data-id=""7741"" data-full-url=""https://mena.nbbcravings.com/wp-content/uploads/2022/07/Blockchain-Event-scaled.jpg"" data-link=""https://mena.nbbcravings.com/?attachment_id=7741"" class=""wp-image-7741""/></figure></li><li class=""blocks-gallery-item""><figure><img src=""https://mena.nbbcravings.com/wp-content/uploads/2022/07/GITEX-Global-1024x683.jpg"" alt="""" data-id=""7742"" data-full-url=""https://mena.nbbcravings.com/wp-content/uploads/2022/07/GITEX-Global.jpg"" data-link=""https://mena.nbbcravings.com/?attachment_id=7742"" class=""wp-image-7742""/></figure></li><li class=""blocks-gallery-item""><figure><img src=""https://mena.nbbcravings.com/wp-content/uploads/2022/07/Miami-Family-Offices-1024x684.png"" alt="""" data-id=""7743"" data-full-url=""https://mena.nbbcravings.com/wp-content/uploads/2022/07/Miami-Family-Offices.png"" data-link=""https://mena.nbbcravings.com/?attachment_id=7743"" class=""wp-image-7743""/></figure></li><li class=""blocks-gallery-item""><figure><img src=""https://mena.nbbcravings.com/wp-content/uploads/2022/07/Wealth-Arabia-Summit-1024x681.jpg"" alt="""" data-id=""7744"" data-full-url=""https://mena.nbbcravings.com/wp-content/uploads/2022/07/Wealth-Arabia-Summit-scaled.jpg"" data-link=""https://mena.nbbcravings.com/?attachment_id=7744"" class=""wp-image-7744""/></figure></li></ul></figure>
<!-- /wp:gallery -->",,https://mena.nbbcravings.com/wp-content/uploads/2022/07/Blockchain-Event-scaled.jpg|https://mena.nbbcravings.com/wp-content/uploads/2022/07/CFA-Panel-scaled.jpg|https://mena.nbbcravings.com/wp-content/uploads/2022/07/GITEX-Global.jpg|https://mena.nbbcravings.com/wp-content/uploads/2022/07/Miami-Family-Offices.png|https://mena.nbbcravings.com/wp-content/uploads/2022/07/Wealth-Arabia-Summit-scaled.jpg,,1|Investment|keynote speaker,
Ersoy Erkazanci,"<!-- wp:paragraph -->
<p>Bloomberg HT&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Dubai Correspondent</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Ersoy has worked 17 years in asset management for top Turkish banks &amp; is currently a financial correspondent for Bloomberg HT in Dubai where he delivers financial market updates to investors about GCC markets &amp; Asian markets. The topics he covers range from stock markets, currencies, commodities, and fixed income, &amp; also include such reports as mergers &amp; acquisitions, and business &amp; social headlines relevant to the region. Ersoy regularly interviews distinguished guests regarding financial markets. He has a B.S. degree in Chemical Engineering from Middle East Technical University &amp; MBA from Bilkent University.</p>
<!-- /wp:paragraph -->

<!-- wp:embed {""url"":""https://www.youtube.com/watch?v=Zw56U3m1nmQ"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://www.youtube.com/watch?v=Zw56U3m1nmQ
</div></figure>
<!-- /wp:embed -->

<!-- wp:embed {""url"":""https://www.youtube.com/watch?v=QlAXVPKpwcU"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://www.youtube.com/watch?v=QlAXVPKpwcU
</div></figure>
<!-- /wp:embed -->",,https://mena.nbbcravings.com/wp-content/uploads/2022/07/WhatsApp-Image-2022-06-23-at-12.34.09-PM.jpeg,,1|Investment|keynote speaker,
Roy Gluckman,"<!-- wp:paragraph -->
<p>Roy Gluckman is a qualified attorney of the High Court of South Africa and the CEO of Cohesion Collective, an Equality, Diversity &amp; Inclusions consulting and implementation firm. Roy has been speaking professionally on issues relating to Equality, Diversity &amp; Inclusion since 2010 and has since developed into an exceptionally engaging, highly sophisticated and passionate speaker and facilitator.&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Roy believes in having tough conversations; approaching his material with an honesty, authenticity and simplicity. Roy has mastered the art of making the difficult subject matter of Equality, Diversity and Inclusion easily digestible for audiences of all types and all occasions. As a keynote speaker, panelist, programme director and facilitator Roy continues to captivate and challenge audiences to pause and introspect, something he believes we do not do enough of.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Roy is committed to the creation of social cohesion (teams, organisations, communities, nations). Inspiring others to better understand themselves and one another by engaging with our differences, as opposed to ignoring them, so that we may actually come together and co-build a future for ALL of us.</p>
<!-- /wp:paragraph -->

<!-- wp:embed {""url"":""https://www.youtube.com/watch?v=epaHVlICe5E"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://www.youtube.com/watch?v=epaHVlICe5E
</div></figure>
<!-- /wp:embed -->

<!-- wp:embed {""url"":""https://www.youtube.com/watch?v=OVWkO4LTyn0"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-4-3 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-4-3 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://www.youtube.com/watch?v=OVWkO4LTyn0
</div></figure>
<!-- /wp:embed -->",,https://mena.nbbcravings.com/wp-content/uploads/2022/07/Roy-Gluckman-1.webp|https://mena.nbbcravings.com/wp-content/uploads/2022/07/OIP.jpg|https://mena.nbbcravings.com/wp-content/uploads/2022/07/dfr.jpg|https://mena.nbbcravings.com/wp-content/uploads/2022/07/yhgg.jpg|https://mena.nbbcravings.com/wp-content/uploads/2022/07/OIP-1.jpg|https://mena.nbbcravings.com/wp-content/uploads/2022/07/dvsba.jpg,,1|Culture|Diversity|Equality|Gender Equality|Inclusion|Investment|keynote speaker|Leadership,
Marc Randolph,"<!-- wp:paragraph -->
<p>Marc Randolph is a top entrepreneur and innovation keynote speaker, Netflix cofounder, angel investor, and an Amazon #1 bestselling author of That Will Never Work. He has 40 years of experience as a Silicon Valley entrepreneur.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>After leaving Netflix, he mentored analytics software company Looker Data Sciences to a 2.6 billion dollar exit, and currently serves as a board member and advisor for a number of startups. His dynamic keynote presentations focus on what it takes for entrepreneurs to innovate.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Marc Randolph is a veteran Silicon Valley entrepreneur, advisor and investor. Marc was the co-founder of Netflix, serving as their founding CEO, as the executive producer of their web site, and as a member of their board of directors. Although best known for starting Netflix, Marc’s career as an entrepreneur spans more than four decades.&nbsp; He’s founded or co-founded more than half a dozen other successful start-ups, mentored rising entrepreneurs, and invested in numerous successful tech ventures. He is a frequent speaker at industry events, works extensively with young entrepreneur programs, sits on the board of the environmental advocacy group 1% for the Planet, and chairs the National Outdoor Leadership School’s Board of Trustees. He is the author of the international best-seller, That Will Never Work, the Birth of Netflix and the Amazing Life of an Idea.</p>
<!-- /wp:paragraph -->

<!-- wp:embed {""url"":""https://www.youtube.com/watch?v=rX-H7SMNgX4"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://www.youtube.com/watch?v=rX-H7SMNgX4
</div></figure>
<!-- /wp:embed -->",,https://mena.nbbcravings.com/wp-content/uploads/2022/07/OIP.jpg,,1|business|Entertainer|Entrepreneur|Inclusion|Innovation|Investment|keynote speaker|Leadership,
Marita Cheng,"<!-- wp:paragraph -->
<p>Marita Cheng is a technology keynote speaker, one of Forbes Worlds Top 50 Women in Tech, and the founder of Robogals, Aipoly, and Aubot. Marita is an inspirational speaker who has given over 350 speeches since 2012 in 15 countries.&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Her high-profile engagements have included appearing on Q&amp;A on ABC beside two Nobel Laureates and the Chief Scientist of Australia (live TV audience of 600,000), and alongside Ashton Kutcher at Lenovo’s #TechMyWay (online audience 35,000). She has spoken before the M.A.P. International CEO Conference in the Philippines in 2016, MIT Technology Review EmTech Singapore in 2015, and the 2014 World Entrepreneurship Forum in Lyon France.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Aubot is the manufacturer of the telepresence robot, Teleport, for people with longterm illness or a disability to attend school or work remotely. Teleports have been sold to offices, museums, co-working spaces, for kids with cancer in hospitals and for security. Marita founded Robogals in 2008 to encourage girls into science, engineering, technology and mathematics. Robogals has taught over 100,000 girls in 11 countries. Chapter universities include CalTech, Georgia Tech, Columbia University and Wellesley.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>While attending Singularity University’s 10-week flagship Graduate Studies Program, held at NASA Ames in Mountain View in 2015, Marita co-founded Aipoly. Aipoly’s first application recognizes objects in real-time on a smartphone using convolutional neural networks and relays them to people who are visually impaired.&nbsp; Since launching at CES in January 2016, Aipoly has twice won the CES Best of Innovation Award (in 2016 and 2017), is now available in 23 languages and has been downloaded over 500,000 times.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Marita was born in Cairns, Queensland, Australia. She grew up in housing commission with her brother and single-parent mother, who worked as a hotel room cleaner. She graduated from high school in 2006 in the top 0.2% of the nation, and that year was awarded Cairns Young Citizen of the Year for her volunteering and extra-curricula efforts.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Marita has a Bachelor of Engineering (Mechatronics) / Bachelor of Computer Science from the University of Melbourne.&nbsp; She has served on the Clinton Health Access Initiative’s Tech Advisory Board.</p>
<!-- /wp:paragraph -->

<!-- wp:embed {""url"":""https://www.youtube.com/watch?v=IsHXnOzhRPg"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://www.youtube.com/watch?v=IsHXnOzhRPg
</div></figure>
<!-- /wp:embed -->

<!-- wp:embed {""url"":""https://www.youtube.com/watch?v=jqaLWOnRozA"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://www.youtube.com/watch?v=jqaLWOnRozA
</div></figure>
<!-- /wp:embed -->",,https://mena.nbbcravings.com/wp-content/uploads/2022/07/Marita-Cheng.jpg|https://mena.nbbcravings.com/wp-content/uploads/2022/07/OIP-2.jpg,,1|Artificial Intelligence|Future|Innovation|Investment|keynote speaker|Leadership|Motivation|Technology,
